unique_id,nombre,ap1,ap2,sexo,nacionalidad,true_person_id
F0000001,,RUJES,VERA,MUJER,CHILENA,1528363
F0000002,NICOLÁS ALBERTK,LOBOS,KING,HOMBRE,CHILENA,570155
F0000003,JOSEFA DANIELA,RINCON,GUTIERREZ,MUJER,CHILENA,1173391
F0000004,GUIVALDO MOISÉS,HOBRAN,,HOMBRE,CHILENA,687581
F0000005,KAREN IVONNE,GODOY,HUESPED,MUJER,CHILENA,1771159
F0000006,VERÓNICA DEL CARMEN,MATURANA,OCHSENIUS,MUJER,CHILENA,1276629
F0000007,OSVALDO ADÁN,SIERRA,PINO,HOMBRE,CHILENA,694285
F0000008,ANCELOT,VEGA,HENRÍQUEZ,HOMBRE,CHILENA,497465
F0000009,VALESKA YANIRA,REYES,CASTILLO,MUJER,CHILENA,1325769
F0000010,HUGO ALBERTO,VERA,MUÑOZ,HOMBRE,CHILENA,74665
F0000011,LYSERG LUENERDU,VILLEBLENCE,BELTRÁN,HOMBRE,CHILENA,606490
F0000012,FELIPE JAVIER,PONCE,FERREIRA,HOMBRE,CHILENA,499547
F0000013,GERMAN DEL CARMEN,MARDONES,AGUILAR,HOMBRE,EXTRANJERA,2052318
F0000014,JUEN,VFERNANDEZ,,HOMBRE,EXTRANJERA,1888351
F0000015,ALEXANDRA JAVIERA,ELGUETA,CARUS,HOMBRE,CHILENA,1691881
F0000016,ORLANDO DELACARMEN,QUEEVDO,LOBOS,HOMBRE,EXTRANJERA,394023
F0000017,AKIM,MASMAN,OIZANA,,CHILENA,2478985
F0000018,CONSUELO ALEJANDRA,VILLAFAÑA,MENDEZ,MUJER,CHILENA,1686797
F0000019,DEYENE E,,APRRW,MUJER,CHILENA,1423860
F0000020,FRANCISCA ESTER,MORDONES,ROJAS,MUJER,EXTRANJERA,2726953
F0000021,ZULEMA DEL CARMEN,LAMOUR CHRISTOPHE,MUENA,MUJER,CHILENA,1180676
F0000022,LERENCIA,CORNREA,PIZARRE,MUJER,CHILENA,2354134
F0000023,IVCTOR MANUEL,GELZE,HUALLPA,HOMBRE,,1949709
F0000024,ROSA MARCELA,CONCHA,RIVERA,MUJER,CHILENA,2561018
F0000025,ANIANYELIS,MOLINA,QCSOTA,MUJER,EXTRANJERA,878187
F0000026,JULIO ALEJANDRO,VALERIA,CERDA,HOMBRE,CHILENA,604461
F0000027,,CASTILLO,MURE,MUJER,CHILENA,1054708
F0000028,JIYMY,MUSSRTTU,CERTEGENE,HOMBRE,EXTRANJERA,2237511
F0000029,LIFIEEN MIREYE,FFRENCH,RODRAGURZ,MUJER,CHILENA,2298621
F0000030,ENTUNIE CÍERULNIE,PMÑA,RODRÍGUEZ,MUJER,CHILENA,1476225
F0000031,MENUELRICERDU,SANCHEZ,,HOMBRE,CHILENA,861095
F0000032,MABIS,,PÉRRZ,MUJER,CHILENA,1220990
F0000033,,ROTIÚ,DUQUE,HOMBRE,CHILENA,1946567
F0000034,LUIS HUMBERTO,SILVA,BUGUEÑO,HOMBRE,CHILENA,314335
F0000035,VERÓNICA DEL CARMEN,ESPINOZA,DOMÍNGUEZ,MUJER,CHILENA,1318331
F0000036,HÉCTOR MANUEL,CORONADO,FUENTES,HOMBRE,CHILENA,733672
F0000037,ALICIA DEL CARMEN,OLGUÍN,PALACIOS,MUJER,CHILENA,1701337
F0000038,,CTUEZ,CAMANO,MUJER,CHILENA,1511053
F0000039,RAFAEL LEONARDO,IBARRA,MANSILLA,HOMBRE,CHILENA,201724
F0000040,EÍES ISEEC,NARNAJO,,HOMBRE,CHILENA,2650521
F0000041,ROSSE MARIE DEL CARME,LARA,RIVERA,MUJER,CHILENA,2303655
F0000042,WILSON ALEXIS,MOYA,MUÑOZ,HOMBRE,CHILENA,219768
F0000043,ANTONIA ANDREA,CASTILLO,MUNDACA,MUJER,CHILENA,1426479
F0000044,LUIS ARIEL,REIREZ,SELMEENCE,HOMBRE,,47864
F0000045,BOERTO,RUSSE,VIAL,HOMBRE,CHILENA,2061388
F0000046,CAROLINA DEL CARMEN,FAÚNDEZ,FERNANDEZ,MUJER,CHILENA,1534137
F0000047,HÉCTOR,ROSSI,TARRAGÓ,HOMBRE,CHILENA,131590
F0000048,,GARIBOLDI,CIFUENTES,HOMBRE,CHILENA,1876293
F0000049,JOCELINE DEL CARMEN,SEPÚLVEDA,VALLEJOS,MUJER,CHILENA,1558227
F0000050,JONATHAN JESÚS,EYDE,LEYTON,HOMBRE,CHILENA,743475
F0000051,JUAN SEGUNDO,LAGOS,MANZOR,HOMBRE,CHILENA,623482
F0000052,RAYSA JOAN,SÁNCHEZ,CATRICURA,MUJER,CHILENA,1318786
F0000053,IRMA ISABEL,SOTO,LATORRE,MUJER,CHILENA,1315736
F0000054,CÉSAR ESTEBAN,MICHEL,FARA,HOMBRE,CHILENA,177058
F0000055,JORGE ANTONIO,ROZAS,JARDIM,HOMBRE,CHILENA,1945945
F0000056,JENIFFER,MARNÍ,ÁLVAREZ,MUJER,CHILENA,1100213
F0000057,PATRICIA ALEJANDRA,CRUZADO,ARAYA,MUJER,CHILENA,1658103
F0000058,INGRID VIVIANA,SUAREZ,MELGAR,MUJER,CHILENA,2277282
F0000059,DENNYS ALEJANDRA,BARENDS,VERDUGO,MUJER,CHILENA,1126475
F0000060,,CORALES,CERDA,HOMBRE,CHILENA,779639
F0000061,,RHEYES,ÁLVAREZ,MUJER,CHILENA,1715750
F0000062,ENDRÉS,SAAVEDRA,SANTANA,HOMBRE,CHILENA,240524
F0000063,ENE M,ORTEGA,CHOQUWTICLLA,MUJER,CHILENA,1778566
F0000064,VÍCTUR DMIÉN,ATCCHI,ARRNAS,HOMBRE,CHILENA,398476
F0000065,VÍCTOR ANDRÉS,VILLARROEL,ÁLVAREZ,HOMBRE,CHILENA,93325
F0000066,SUSANA DEL TRÁNSITO,MARTINEZ,CORNEJO,MUJER,CHILENA,993781
F0000067,CLAUDIA YANDREA,GURDA,VARGAS,HOMBRE,CHILENA,1661832
F0000068,ELÍAS K,SILVA,VALDERAS,,CHILENA,356760
F0000069,GUISSELA MALENY,MANCILLA,CURIMIL,MUJER,CHILENA,1604307
F0000070,JIMENA CECILIA,GALLARDO,SOLAR,MUJER,CHILENA,1631909
F0000071,NETELY ENGELINE,SALAZAR,MERTÍNEZ,MUJER,CHILENA,1619665
F0000072,DAVID ANTONIO,PIZARRO,DESCONOCIDO,HOMBRE,CHILENA,31466
F0000073,CONSTANZA AMBAR,PALAVECINOS,CANCINO,MUJER,CHILENA,2362170
F0000074,HUGO ENRIQUE,BASTIAS,DESCONOCIDO,HOMBRE,CHILENA,165873
F0000075,CERULINE ELEJENDRE,ARIAS,VARGAS,HOMBRE,CHILENA,2612318
F0000076,LUCIANO,VILLÁN,URIBE,HOMBRE,CHILENA,480169
F0000077,ORLANÚO ANTONIO,CUITIEU,SENCHEZ,HOMBRE,EXTRANJERA,2163138
F0000078,MANUEL JESÚS,LÓPEZ,NOGUERA,HOMBRE,CHILENA,832494
F0000079,JULIO EDUARDO DEL CA,PRADO,CRUZ,HOMBRE,CHILENA,280385
F0000080,BERNARDO LEANDRO JOSÉ,JACCARD,BRDVU,MUJER,CHILENA,2317649
F0000081,RUNEL,EPSINOZA,ZAPATA,HOMBRE,,732386
F0000082,MERIU,AYNDZ,FGUEROA,HOMBRE,EXTRANJERA,1936422
F0000083,JESU ANTONIO,SANCHEZ,GUNZELEZ,HOMBRE,EXTRANJERA,2203129
F0000084,VICENTE JAVIER,CARTES,URZUA,HOMBRE,CHILENA,2165204
F0000085,DILAN ALEXANDER,ZULUAGA,HERNANDEZ,HOMBRE,EXTRANJERA,27251
F0000086,THIAGO B,ARYAA,CABEZS,HOMBRE,,646367
F0000087,MERÍ,,VEAR,MUJER,CHILENA,1184015
F0000088,KEVIN B,COTÉS,MATAMALA,MUJER,CHILENA,2637553
F0000089,,CONTRERAS,VÉSQUEZ,HOMBRE,EXTRANJERA,650179
F0000090,CRISTUHER,ARANCIBIA,GUAJARDO,,CHILENA,775042
F0000091,LUIS,GONZLÁEZ,SILVA,HOMBRE,CHILENA,529666
F0000092,MATEO VALENTINO,SÁEZ,GONZÁLEZ,HOMBRE,CHILENA,202045
F0000093,DACHINE,LOPEZ,SALGADO,MUJER,CHILENA,2406049
F0000094,JAIER,REYES,PACHECO,HOMBRE,EXTRANJERA,91691
F0000095,,BARRÍA,FARIAS,MUJER,EXTRANJERA,2422450
F0000096,,GUZMÁN,GUTIÉRREZ,HOMBRE,CHILENA,736655
F0000097,MACARENA,ITRURA,CETELEN,MUJER,EXTRANJERA,2608613
F0000098,SHIRLEY LISSETTE,CORTÉS,MENDOZA,MUJER,CHILENA,1742002
F0000099,PILAR,SOTOMAYOR,FERNÁNDEZ,MUJER,CHILENA,1748918
F0000100,JORGE RAIMUNDO,FIGUEROA,MORALES,HOMBRE,CHILENA,207218
F0000101,EVELIN T,LIRE,SICVE,MUJER,CHILENA,1329586
F0000102,GERALDINE NICOLE,LEÓN,GONZÁLEZ,MUJER,CHILENA,1074089
F0000103,SILVANA IRIS,NARITELLI,SAEZ,MUJER,CHILENA,2460293
F0000104,NICOLAS U,QUIROGA,VARZGAS,HOMBRE,CHILENA,2126532
F0000105,,,URRDGU,HOMBRE,CHILENA,1814695
F0000106,GLADYS DE LAS MERCEDES,COLLAO,TARIFEÑO,MUJER,CHILENA,1042292
F0000107,MILEÍRUS M,GUTIÉRREZ,CARRASCO,MUJER,CHILENA,1586636
F0000108,ISAMAR,REVÚECU,TORRES,MUJER,CHILENA,2388492
F0000109,NATHALIA MICHELL,GARCIA,PERDOMO,MUJER,EXTRANJERA,915836
F0000110,DIN ADEL PILAR,CARRASCO,,HOMBRE,CHILENA,1537270
F0000111,MATÍAS ANDRÉS,PARRA,REMEDY,HOMBRE,CHILENA,754923
F0000112,ANDY AAEXIS,,LLANTÉN,HOMBRE,CHILENA,2642110
F0000113,PENIEL,MOLIAN,PULGAR,MUJER,CHILENA,2645306
F0000114,MARÍA YOLANDA,CERDA,AGUILERA,MUJER,CHILENA,1283996
F0000115,YESSENIA ESTEFANÍA,BRUTUS,TORRES,MUJER,CHILENA,1553837
F0000116,NICOLASA,HERNANDEZ,PASTRANA,MUJER,EXTRANJERA,911217
F0000117,JOÉ PRUDENCIO,BEANVIDES,MOARLES,HOMBRE,CHILENA,663623
F0000118,NATALIA MACARENA,JIMENEZ,ASTETE,MUJER,CHILENA,1170653
F0000119,NIDIA SCARLETT,CÚD,FARÍAS,MUJER,CHILENA,1458819
F0000120,LUIS RODRIGO,ORTEGA,GARCÍA,HOMBRE,EXTRANJERA,207524
F0000121,JONAUTHAN B,TRONCOSO,LUPEZ,HOMBRE,CHILENA,2140253
F0000122,JUAN CARLOS,PRIETO,TORRES,HOMBRE,CHILENA,498263
F0000123,,YENEZ,ZAMORA,MUJER,EXTRANJERA,2470496
F0000124,MATASA,,ALVAREZ,HOMBRE,CHILENA,1995690
F0000125,KETTIE,ALEGRIS,LEIVA,HOMBRE,EXTRANJERA,2312873
F0000126,JOSÉ HERIBERTO,SALAS,SEGUEL,HOMBRE,CHILENA,393609
F0000127,DAMIANANGEL,GAUILERA,ACSTILLFO,HOMBRE,CHILENA,427817
F0000128,JORGE ANDRES,BRICEAO,POBLETE,HOMBRE,EXTRANJERA,1878005
F0000129,JESUSESTEBAN,LSRA,,HOMBRE,CHILENA,1936685
F0000130,CSRMEN,RUMERU,GERCIE,MUJER,CHILENA,1771591
F0000131,CARMEN CHARITO,ALCON,AGUILERA,MUJER,CHILENA,1756485
F0000132,STEFANNY A,ORTEGA,SOTO,MUJER,CHILENA,1408345
F0000133,JOSÉ ALEJANDRO,SOTO,VARAS,HOMBRE,CHILENA,2686279
F0000134,VANESSA,JARA,SILVA,MUJER,CHILENA,1362210
F0000135,ISIDORA ALEXIA,MUÑZO,ÍURE,HOMBRE,CHILENA,378979
F0000136,MARÍA PATRICIA,SEGURA,GALAZ,MUJER,CHILENA,1233353
F0000137,HÉCTUR,ROSAS,AGUILAR,HOMBRE,,802053
F0000138,FRENCISCU TUMÉS,METEMELE,ASTORGA,HOMBRE,CHILENA,138389
F0000139,SUFÍ EINDIE,FIGUERUE,ACUÑA,HOMBRE,EXTRANJERA,2684486
F0000140,,GALLARDO,VÉSQUEZ,HOMBRE,CHILENA,1452052
F0000141,JULIA ELENA,UPLENCU,SAAVEDRA,MUJER,EXTRANJERA,2307539
F0000142,DANIEL ANTONIO,CÁCERES,GONZÁLEZ,HOMBRE,CHILENA,491234
F0000143,MAGALI LILIANA,ESPINOZA,DESCONOCIDO,MUJER,CHILENA,938984
F0000144,JAIME ESTEBAN,TORRES,ABARZÚA,HOMBRE,CHILENA,829697
